Designator,Mid X,Mid Y,Rotation,Layer
C1,12.7375,-4.9,0.0,top
C2,11.8175,-7.25,0.0,top
C3,4.8,-13.8575,270.0,top
C4,7.25,-13.8075,270.0,top
C5,9.7,-13.8075,270.0,top
C6,12.3,-13.8075,270.0,top
D1,1.65,-12.9875,270.0,top
D2,-1.95,-12.9875,270.0,top
D3,-1.95,-8.9125,90.0,top
D4,1.65,-8.9125,90.0,top
J1,9.7,-18.61,0.0,top
J2,9.325,0.1,180.0,top
R1,8.7,-4.2975,90.0,top
R10,11.0,-11.4425,90.0,top
R11,13.5,-11.4425,90.0,top
R12,-2.7475,-5.0,180.0,top
R2,9.95,-4.2975,90.0,top
R3,3.9,-4.4025,270.0,top
R4,5.9,-13.8375,90.0,top
R5,8.4,-13.83,90.0,top
R6,11.0,-13.83,90.0,top
R7,13.5,-13.8375,90.0,top
R8,5.9,-11.4425,90.0,top
R9,8.4,-11.4425,90.0,top
U1,9.35,-8.25,270.0,top
