Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6",CP_Elec_6.3x7.7,6,220uF,C2162971
C7,0805,1,33nF,C107150
D1,D_SMA,1,SS34,C8678
D16,0805,1,LED_GREEN,C2297
F1,1812,1,Polyfuse,C2760293
"J1, J2","PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",2,5.08-2P-90,C3697
J3,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,1,Conn_01x02_Socket,C49023803
L1,L_Chilisin_BMRx00060630,1,33u,C177245
Q1,SOT-23_Handsoldering,1,PMOS,C42456992
Q2,SOT-23,1,2N7002K,C65189
"R1, R10, R2, R6",0805,4,10k,C17414
"R11, R7",0805,2,8.2k,C17828
"R3, R4, R5",1206,3,250mR 1W 1%,C2932845
"R8, R9",0805,2,1k,C17513
RV1,Potentiometer_Runtron_RM-065_Vertical,1,10k,C5205021
U1,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,1,XL4001,C2988027
VDC1,BarrelJack_Horizontal,1,Barrel_Jack_Switch,C720557
