Designator,Mid X,Mid Y,Rotation,Layer
C1,22.5,-16.8,270.0,top
C2,30.75,-16.8,270.0,top
C3,39.1,-16.7,270.0,top
C4,20.3,-27.5,270.0,top
C5,28.6,-27.3,270.0,top
C6,36.9,-27.1,270.0,top
C7,14.250002,-30.100001,180.0,top
D1,0.0,-13.1,90.0,top
F1,15.5,-17.225001,270.0,top
J1,23.039999,-6.5,180.0,top
J2,11.74,-35.7,0.0,top
J3,40.3,-7.47,270.0,top
L1,0.0,-25.725,270.0,top
Q1,14.5,-11.0,270.0,top
Q2,33.262499,-3.849998,0.0,top
R1,11.0,-13.4125,90.0,top
R10,32.099999,-7.8125,270.0,top
R2,10.0875,-10.5,180.0,top
R3,20.9,-39.249999,90.0,top
R4,23.7,-39.249998,90.0,top
R5,26.5,-39.249999,90.0,top
R6,15.1875,-21.7,0.0,top
R7,14.2875,-25.2,0.0,top
R8,14.287501,-27.700001,180.0,top
R9,34.2,-7.7875,90.0,top
RV1,8.5,-27.7,0.0,top
U1,8.4085,-20.104999,270.0,top
VDC1,8.15,-3.625,270.0,top
